Date,Total,White,Black,Hispanic,Asian/Pacific Islander,American Indian/Alaska Native
2010-12-31,7.421,5.0715,8.0205,15.1487,4.159,12.4248
2009-12-31,8.053901,5.208666,9.331762,17.601842,3.367598,13.239914
2008-12-31,8.0112853396732,4.806404343624,9.934512393235,18.328026539174,4.4372689069957,14.635368175591
2007-12-31,8.7446868985382,5.271770921887,8.411203434444,21.437308258443,6.1095357609984,19.323793210203
2006-12-31,9.3453,5.8485,10.7367,22.0675,3.6197746009116,14.730441630336
2005-12-31,9.41,5.96,10.44,22.4,2.86,14.01
2004-12-31,10.31628,6.75185,11.76956,23.78805,3.5580514846664,17.000638207096
2003-12-31,9.9,6.34319,10.94074,23.54459,3.9357208940615,14.978653790778
2002-12-31,10.4818,6.51611,11.29128,25.68986,3.9364765433324,16.832933721528
2001-12-31,10.724329387371,7.3229149885735,10.891907980362,26.961111508209,3.5688155817188,13.132277596646
2000-12-31,10.9,6.9,13.1,27.8,3.7843021175919,14.038852335545
1999-12-31,11.2,7.3,12.6,28.6,4.3003726109499,
1998-12-31,11.8,7.7,13.8,29.5,4.0523630550375,11.783213318359
1997-12-31,11.0,7.6,13.4,25.3,6.9065632547766,14.53238362628
1996-12-31,11.1,7.3,13.0,29.4,5.2806420544843,12.997853737234
1995-12-31,12.0,8.6,12.1,30.0,3.8619233150056,13.410370166569
1994-12-31,11.5,7.7,12.6,30.0,5.7898027229786,10.159914137429
1993-12-31,11.0,7.9,13.6,27.5,5.7588992426512,14.587641841434
1992-12-31,11.0,7.7,13.7,29.4,5.7124918322124,17.458738270777
1991-12-31,12.5,8.9,13.6,35.3,3.5280752563317,18.68254203357
1990-12-31,12.1,9.0,13.2,32.4,4.9090775986586,16.38059114506
